Round Number,Agent That Won,Time Taken(s),Fuzzy Bullets Fired,Fuzzy Bullets Hit,Finite Bullets Fired,Finite Bullets Hit,Fuzzy Move To Target Count,Fuzzy HidingCount,Fuzzy Shooting Count,Fuzzy Reloading Count,Finite Move To Target Count,Finite HidingCount,Finite Shooting Count,Finite Reloading Count,Time Stamp
1,FUSM,58.54594,26,12,23,10,23,14,23,5,9,10,13,6,08/03/2020 22:18:56
2,FUSM,44.43479,24,13,21,10,26,24,18,5,16,18,23,11,08/03/2020 22:18:58
3,FSM,36.36533,13,7,16,12,11,10,10,4,22,20,29,14,08/03/2020 22:19:00
4,FUSM,45.71506,23,12,19,8,16,17,16,5,27,31,40,17,08/03/2020 22:19:02
5,FSM,45.60759,22,11,25,12,33,38,16,5,35,37,50,21,08/03/2020 22:19:04
6,FSM,58.06433,23,8,27,13,49,48,19,5,45,49,63,28,08/03/2020 22:19:07
7,FUSM,47.15057,23,12,20,9,25,22,18,4,54,57,72,32,08/03/2020 22:19:10
8,FUSM,44.00647,21,13,20,10,19,13,19,4,61,68,81,37,08/03/2020 22:19:12
9,FUSM,40.34528,22,13,21,10,23,20,17,4,67,71,87,41,08/03/2020 22:19:14
10,FUSM,43.90775,21,13,20,10,25,25,15,5,74,77,95,46,08/03/2020 22:19:16
11,FUSM,56.65024,29,13,24,11,44,47,26,6,81,81,102,50,08/03/2020 22:19:19
12,FUSM,65.19684,35,13,31,12,55,52,29,7,90,86,111,56,08/03/2020 22:19:22
13,FSM,48.56903,23,10,24,12,45,43,19,5,97,90,118,60,08/03/2020 22:19:25
14,FSM,53.20123,23,9,27,13,41,42,18,6,105,94,126,65,08/03/2020 22:19:27
15,FUSM,47.03046,24,12,24,10,22,12,22,4,118,113,142,71,08/03/2020 22:19:30
16,FUSM,43.70874,19,13,15,9,23,34,16,4,126,119,149,74,08/03/2020 22:19:32
17,FSM,45.54156,22,13,26,12,21,22,16,5,138,128,160,79,08/03/2020 22:19:34
